,,,,,, fifty percent because of runs not applicable
,,,,,,
Segment,Fuel (gallons/yr), Cost @ $3.75/gal ,,,,
North American short-lines (estimate),150–300 million (best ≈200M), $0.56B – $1.13B (best ≈$0.75B). TCEQ+1 ," $750,000,000 "," $67,500,000 "," $20,250,000 "," $10,125,000 "
North American Class I,3.14 billion, ~$11.8 billion. Haslam College of Business ," $10,000,000,000 "," $800,000,000 "," $240,000,000 ",
All other global railroads (estimate),~10–30 billion (very rough), ~$37.5B – $112.5B (mid ≈$75B). IEA+1 ," $100,000,000,000 "," $8,000,000,000 "," $2,400,000,000 ",
,,,,,,
,,, $13 ,,,
,,,," $33,750.00 ",,
,,,," $10,125.00 ",,
,,,,,,
,,,,,,
,,,,,,ARR Market
Segment,Fuel (gallons/yr), Gallons , Cost @ $3 ,50% of spend,  8% savings, 30% to RailVision
North American short-lines (immediate),150–300 million (best ≈200M)," 200,000,000 "," $600,000,000 "," $300,000,000 "," $24,000,000 "," $7,200,000 "
North American Class I (5 customers),3.14 billion," 3,140,000,000 "," $9,420,000,000 "," $4,710,000,000 "," $376,800,000 "," $113,040,000 "
All other global railroads (estimate),~10–30 billion (very rough)," 20,000,000,000 "," $60,000,000,000 "," $30,000,000,000 "," $2,400,000,000 "," $720,000,000 "
,,,,,,
,," 23,340,000,000 "," $70,020,000,000 "," $35,010,000,000 "," $2,800,800,000 "," $840,240,000 "
,,,,,,
North American short-line detail,,," $905,972,000 "," $452,986,000 "," $36,238,880 "," $10,871,664 "
